global-temps
# from https://data.giss.nasa.gov/gistemp/,,,,,,,,,,,,
# Land-Ocean: Global Means by Month,,,,,,,,,,,,
# *** denotes missing data,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.18,-0.24,-0.09,-0.16,-0.10,-0.21,-0.18,-0.09,-0.14,-0.23,-0.21,-0.17
1881,-0.19,-0.14,0.04,0.05,0.07,-0.18,0.01,-0.03,-0.15,-0.22,-0.18,-0.07
2004,0.58,0.72,0.63,0.61,0.37,0.44,0.26,0.46,0.50,0.60,0.72,0.51
2005,0.74,0.60,0.74,0.67,0.63,0.64,0.61,0.60,0.71,0.75,0.73,0.68
2006,0.56,0.73,0.63,0.47,0.48,0.65,0.54,0.70,0.65,0.69,0.74,0.79
1882,0.16,0.14,0.05,-0.16,-0.13,-0.22,-0.16,-0.07,-0.14,-0.23,-0.17,-0.36
1883,-0.29,-0.37,-0.12,-0.19,-0.18,-0.07,-0.07,-0.14,-0.22,-0.11,-0.24,-0.11
1884,-0.13,-0.08,-0.37,-0.40,-0.34,-0.35,-0.31,-0.28,-0.27,-0.25,-0.33,-0.31
1885,-0.58,-0.33,-0.26,-0.42,-0.45,-0.44,-0.34,-0.31,-0.29,-0.24,-0.24,-0.10
1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.35,-0.18,-0.31,-0.24,-0.28,-0.27,-0.26
1890,-0.42,-0.45,-0.40,-0.30,-0.39,-0.25,-0.28,-0.39,-0.37,-0.25,-0.43,-0.31
1913,-0.41,-0.47,-0.44,-0.41,-0.44,-0.46,-0.37,-0.34,-0.35,-0.33,-0.21,-0.03
1914,0.03,-0.11,-0.25,-0.31,-0.22,-0.26,-0.25,-0.17,-0.18,-0.04,-0.16,-0.05
1915,-0.21,-0.04,-0.10,0.06,-0.07,-0.23,-0.13,-0.23,-0.21,-0.25,-0.13,-0.23
1916,-0.13,-0.15,-0.29,-0.31,-0.35,-0.50,-0.37,-0.29,-0.37,-0.33,-0.47,-0.82
1891,-0.34,-0.47,-0.18,-0.28,-0.16,-0.21,-0.18,-0.18,-0.16,-0.22,-0.31,-0.05
1892,-0.30,-0.11,-0.41,-0.34,-0.24,-0.22,-0.32,-0.27,-0.17,-0.14,-0.42,-0.38
1936,-0.27,-0.37,-0.21,-0.20,-0.16,-0.22,-0.09,-0.13,-0.09,-0.02,0.02,0.00
1893,-0.81,-0.57,-0.22,-0.27,-0.33,-0.25,-0.14,-0.25,-0.22,-0.19,-0.19,-0.34
